region,street,housenumber,city,postcode,lat,lon,building_type
Abruzzo,Via Gorizia,26,Abruzzo,51145,42.00517122723172,13.444546892494209,yes
Abruzzo,Strada Statale 153 della Valle del Tirino,53,Abruzzo,85145,42.38772431723963,13.292224422986871,yes
Abruzzo,Via Angelo Pellegrino,41,Abruzzo,98567,42.21895604381769,14.192502511151728,yes
Abruzzo,Via Brasile,158,Abruzzo,56908,42.548689350000004,14.119179150000003,retail
Abruzzo,Via Martin Luther King,11,Abruzzo,62900,42.61241875,14.046315100000001,roof
Abruzzo,Strada Regionale 577 del Lago di Campotosto,190,Abruzzo,10228,42.039944363552834,13.306164367554965,cowshed
Abruzzo,Via Manlio D'Eramo,27,Abruzzo,57188,42.034378849999996,13.43060705,yes
Abruzzo,Strada Statale 487 di Caramanico Terme,76,Abruzzo,13649,42.391217875416665,14.106644021370712,greenhouse
Abruzzo,Strada Statale 83 Marsicana,44,Abruzzo,76320,42.460039580720725,14.09043735996676,yes
Abruzzo,Via Giovanni Di Vincenzo,101,Abruzzo,38120,42.813893873995475,13.726862043702154,yes
Abruzzo,Via Publio Ovidio Nasone,19,Abruzzo,91690,42.43020638119687,14.01270464973958,yes
Abruzzo,Via delle Capannelle,151,Abruzzo,74912,42.03774792327264,13.455379334308361,house
Abruzzo,Via San Francesco d'Assisi,39,Abruzzo,58705,42.09034953157633,13.367012709998697,yes
Abruzzo,Strada Provinciale 12 Frentana,199,Abruzzo,40646,42.518535078560596,14.14778848222521,retail
Abruzzo,Via Carlo Sabatini,75,Abruzzo,67975,42.80549394410592,13.939177606204144,yes
Abruzzo,Via Dante Alighieri,175,Abruzzo,44244,42.48659392384293,14.086226687624334,yes
Abruzzo,Via del Castelvecchio,131,Abruzzo,61246,42.677168633935814,13.817406730528338,yes
Abruzzo,Via San Polo,57,Abruzzo,86192,42.06085081250971,13.341456055981604,yes
Abruzzo,Via Mausonia,124,Abruzzo,65708,42.87987265,13.920008750000001,yes
Abruzzo,Via Giuseppe Verdi,127,Abruzzo,90941,42.31662572294594,13.507813787601261,yes
Abruzzo,Via Giovanni Pansa,125,Abruzzo,38998,42.219322408836945,14.384958132451793,residential
Abruzzo,Via Giuseppe Verdi,9,Abruzzo,67470,42.370616238983416,14.25803826503406,yes
Abruzzo,Via Giulia,190,Abruzzo,42799,42.36206635472751,13.274520771559434,house
Abruzzo,Via Bari,125,Abruzzo,81670,42.04829689220339,13.989611370333089,garages
Abruzzo,Via Lamaccio,173,Abruzzo,64672,42.112926232963275,14.695956460232464,residential
Abruzzo,Via Cavriani,161,Abruzzo,60430,42.14904339789871,14.284508625396045,yes
Abruzzo,Via Pinete del Pizzalto,118,Abruzzo,68637,42.432128145689596,13.847434785126634,house
Abruzzo,Viale Teofilo Patini,123,Abruzzo,40628,42.106239353770256,13.250560940130573,yes
Abruzzo,Via Madonna dei Monti,25,Abruzzo,14358,41.98905742572041,13.645349023779357,yes
Abruzzo,Via Rodolfo Morandi,14,Abruzzo,88683,42.46430384773399,14.10209968093022,yes
Abruzzo,Via Giovanni Di Vincenzo,37,Abruzzo,48001,42.24490126436981,14.41587951316039,residential
Abruzzo,Via Umberto Postiglione,93,Abruzzo,67664,42.1975319847044,13.841002299554017,yes
Abruzzo,Via San Polo,120,Abruzzo,56845,42.44521949749252,13.173948294957217,yes
Abruzzo,Via Principe di Napoli,18,Abruzzo,35664,42.76960549862197,13.920948717329269,yes
Abruzzo,Via Vigili del Fuoco,22,Abruzzo,69360,42.11953671170111,14.308670967258506,yes
Abruzzo,Via Torretta,32,Abruzzo,32795,42.450708553582224,14.190605285755828,yes
Abruzzo,Via Cavriani,116,Abruzzo,79829,41.92763703475259,14.289589004397437,yes
Abruzzo,Via Vigili del Fuoco,111,Abruzzo,27907,42.17131657250255,14.697416017189422,yes
Abruzzo,Strada Provinciale 54 di Fonteromana,38,Abruzzo,16199,42.388703372243114,13.890311282664545,yes
Abruzzo,Via Principe di Napoli,144,Abruzzo,27215,42.35998713082182,14.109094980913822,yes
Abruzzo,Strada Provinciale 12 Frentana,12,Abruzzo,57687,42.465539750000005,14.091453399999999,yes
Abruzzo,Strada Statale 153 della Valle del Tirino,94,Abruzzo,17587,42.15474797905424,14.00434318700393,apartments
Abruzzo,Via della Polveriera,132,Abruzzo,77784,42.670623549749266,13.893383494372467,yes
Abruzzo,Via Asmara,120,Abruzzo,50266,42.03711830480661,14.419485928802041,yes
Abruzzo,Via Tavola Rotonda,90,Abruzzo,36307,42.4936258966469,14.163188069281913,yes
Abruzzo,Via Filippo Turati,10,Abruzzo,40061,42.8341145,13.9162593,yes
Abruzzo,Via Giovanni Pansa,68,Abruzzo,51308,42.82392235817763,13.717134352696654,yes
Abruzzo,Via Avezzano,104,Abruzzo,72556,41.947885524547964,14.429609513916304,residential
Abruzzo,Via Madonna delle Grazie,48,Abruzzo,71874,42.551161188147866,13.233123214089641,house
Abruzzo,Via Brasile,158,Abruzzo,22039,42.375549506841494,13.42672925559244,yes
Abruzzo,Via Publio Ovidio Nasone,7,Abruzzo,45979,42.4902404,14.1850929,yes
Abruzzo,Via del Catello,54,Abruzzo,33885,42.39228391965451,14.215081661689686,yes
Abruzzo,Via delle Valli,127,Abruzzo,98383,42.6814118876688,13.590421486040016,yes
Abruzzo,Via Gualchiera,170,Abruzzo,87723,42.84991203979996,13.723311614042744,yes
Abruzzo,Piazza Cansatessa,91,Abruzzo,63555,42.27751131698902,14.03000738993677,yes
Abruzzo,Via Ottavio Colecchi,163,Abruzzo,91540,42.66239054260306,14.007874834545557,house
Abruzzo,Strada Regionale 577 del Lago di Campotosto,130,Abruzzo,18609,42.30456458422762,14.387015538120837,house
Abruzzo,Viale Giuseppe Mazzini,98,Abruzzo,67722,42.229992700480466,14.168908811577507,yes
Abruzzo,Via Cardinale Mazzarino,20,Abruzzo,75004,42.71058095,13.906384249999999,yes
Abruzzo,Via San Lorenzo,108,Abruzzo,30160,42.20055405,14.12644985,roof
Abruzzo,Via Cornacchiola,161,Abruzzo,42849,42.2457542,13.9756752,yes
Abruzzo,Via Morrone,88,Abruzzo,15838,42.45725027841931,14.13680103372851,yes
Abruzzo,Via Ludwig van Beethoven,191,Abruzzo,32062,42.25327485,14.2859773,yes
Abruzzo,Via Patini,124,Abruzzo,82150,41.86534041472174,13.62659978406765,yes
Abruzzo,Via Gualtieri d'Ocre,121,Abruzzo,80967,42.097461202433415,13.87629849256866,yes
Abruzzo,Via San Gabriele dell'Addolorata,105,Abruzzo,73496,42.124755712427465,14.279301060166944,yes
Abruzzo,Via del Vallone,194,Abruzzo,24242,42.106245096735705,14.716351290701095,yes
Abruzzo,Via Teramo,98,Abruzzo,83989,42.00597954699999,14.011883367251295,yes
Abruzzo,Via Venticinque Aprile,47,Abruzzo,69210,42.37676085789491,14.218577025127873,yes
Abruzzo,Via del Mulino di Pile,62,Abruzzo,98555,42.471236228031906,14.205738686576137,residential
Abruzzo,Via Isonzo,19,Abruzzo,94325,42.369817576799036,13.27018831337458,house
Abruzzo,Strada Statale 80 del Gran Sasso d'Italia,72,Abruzzo,52596,42.77020529793143,13.952865030794069,service
Abruzzo,Viale Duca degli Abruzzi,62,Abruzzo,61938,42.465590065326595,14.187575287292463,yes
Abruzzo,Viale Giovanni Ventitreesimo,93,Abruzzo,34569,42.04009289496652,13.929499664207666,house
Abruzzo,Via Colombo Andreassi,6,Abruzzo,16650,42.472858418120936,14.050716815615925,yes
Abruzzo,Via Porta Romana,50,Abruzzo,50516,42.1017633452597,13.874832369811717,yes
Abruzzo,Via Guglielmo Marconi,90,Abruzzo,48647,42.07091074598868,13.261071320996711,residential
Abruzzo,Strada Statale 153 della Valle del Tirino,13,Abruzzo,49136,42.65207719368115,14.011689755323484,house
Abruzzo,Via Roma,25,Abruzzo,90754,42.35632625,14.4023238,yes
Abruzzo,Via Cardinale Mazzarino,54,Abruzzo,53204,42.18715466555242,14.055877852304015,trullo
Abruzzo,Via Giulia,52,Abruzzo,95477,42.6079924,13.923511950000002,yes
Abruzzo,Via Domenico D'Ascanio,57,Abruzzo,91052,42.5585031470335,13.525200223535569,yes
Abruzzo,Via San Lorenzo,78,Abruzzo,46519,41.77638489855345,13.935309280971445,yes
Abruzzo,Via Gualchiera,101,Abruzzo,59587,42.41165927479485,14.278957802748542,yes
Abruzzo,Via Raffaele Paolucci,87,Abruzzo,77585,42.42478041469362,14.186562668026243,yes
Abruzzo,Via San Matteo,149,Abruzzo,79368,41.94097028370682,14.644387874625313,barn
Abruzzo,Via Cesare Battisti,43,Abruzzo,86807,42.164810053771305,14.390866584987224,yes
Abruzzo,Via Vittorio Veneto,160,Abruzzo,74117,42.051332320504756,13.458844054732696,yes
Abruzzo,Strada Provinciale 80 di Campo Imperatore,84,Abruzzo,62191,42.47381330606164,14.201887926316692,apartments
Abruzzo,Via Gorizia,66,Abruzzo,66519,42.18725249069697,14.23576851392671,yes
Abruzzo,Via Caramanico,48,Abruzzo,36927,42.34848134086149,13.402886717165659,yes
Abruzzo,Via Madonna delle Grotte,63,Abruzzo,19871,42.08440680000001,14.653947600000002,yes
Abruzzo,Via delle Concerie,96,Abruzzo,20544,42.51515369327186,14.158923332893927,yes
Abruzzo,Corso Principe Umberto,166,Abruzzo,90844,42.09882906139085,13.876240131103136,yes
Abruzzo,Via San Lorenzo,7,Abruzzo,19554,42.216801547401566,14.284477671026771,yes
Abruzzo,Via Torretta,64,Abruzzo,32445,42.20736847776055,13.517101839867257,yes
Abruzzo,Via San Matteo,39,Abruzzo,39077,42.566363963093295,14.083805242961374,farm_auxiliary
Abruzzo,Via Gaetano Salvemini,111,Abruzzo,37188,42.301790909611185,14.444997969033482,yes
Abruzzo,Via Fratelli Angeletti,174,Abruzzo,76443,42.36578282658279,14.141749690513366,yes
Abruzzo,Via Cavour,74,Abruzzo,54981,42.33710790000001,14.019822450000001,yes
Abruzzo,Via San Francesco di Paola,31,Abruzzo,61875,42.22850675033927,14.392684620436857,residential
Abruzzo,Via Maiella,145,Abruzzo,28383,42.26590063334263,14.016180789702586,yes
Abruzzo,Via Maiella,180,Abruzzo,24049,42.63327117071294,13.469782353148211,house
Abruzzo,Via Gennaro Sardi,198,Abruzzo,12844,42.37183352215798,13.468215371651372,yes
Abruzzo,Via Livenza,10,Abruzzo,30814,42.662394280612794,13.710048606412347,yes
Abruzzo,Strada Statale 80,195,Abruzzo,43650,42.88446854792045,13.917277819208158,yes
Abruzzo,Strada Provinciale 2 del Lago di Campotosto,49,Abruzzo,95765,42.300461320894776,14.098605234909602,yes
Abruzzo,Via Roma,20,Abruzzo,29606,42.0530921,13.932599050000002,terrace
Abruzzo,Via Dante Alighieri,156,Abruzzo,99316,42.036965533876746,14.414842575806032,yes
Abruzzo,Via Giovanni Pansa,192,Abruzzo,51768,42.01416685000001,13.789237850000001,yes
Abruzzo,Via Gorizia,40,Abruzzo,86767,42.34368800424107,14.199194983896003,yes
Abruzzo,Strada Statale 84 Frentana,112,Abruzzo,77575,42.558604462864366,13.367175173905663,yes
Abruzzo,Via Livenza,142,Abruzzo,19461,42.31913605930077,14.136063418383703,yes
Abruzzo,Via Tavola Rotonda,58,Abruzzo,43093,42.45435554146312,14.087985433697645,yes
Abruzzo,Via Sallustio,69,Abruzzo,63448,41.9680638,13.393812550000003,yes
Abruzzo,Via Valter Vittorini,102,Abruzzo,83500,42.113794265936214,14.384619978410052,yes
Abruzzo,Viale Berardino De Vincentiis,174,Abruzzo,93257,42.43321544999999,14.052045249999999,yes
Abruzzo,Via Manlio D'Eramo,134,Abruzzo,48724,41.957709773361934,13.53564312173852,yes
Abruzzo,Via San Francesco,163,Abruzzo,46502,42.22009604056763,14.244944794345308,terrace
Abruzzo,Via Luigi Signorini Corsi,196,Abruzzo,72851,42.46254001966582,13.219515793165826,yes
Abruzzo,Via Montagna,107,Abruzzo,43719,42.11899008084958,14.227360717458604,industrial
Abruzzo,Via delle Concerie,157,Abruzzo,33257,42.31742910955207,14.342947481244387,shed
Abruzzo,Via Pinete del Pizzalto,50,Abruzzo,78472,42.537796917999295,14.128618693701886,yes
Abruzzo,Rotonda Giovanni Ricottilli,65,Abruzzo,98643,42.12403392179509,14.721834708027856,bungalow
Abruzzo,Via Ottavio Colecchi,184,Abruzzo,62567,42.267623210001425,14.259473308334975,yes
Abruzzo,Via Cardinale Mazzarino,51,Abruzzo,43354,42.36630295129536,13.335192865176117,yes
Abruzzo,Strada Provinciale 38 Nuova Vestina,8,Abruzzo,73012,42.64610188622963,13.906517504354696,yes
Abruzzo,Via Oasi di San Francesco,123,Abruzzo,80717,42.674132113617375,13.777517436257849,yes
Abruzzo,Via Luigi Signorini Corsi,82,Abruzzo,99227,42.421128118261976,14.193322542909717,yes
Abruzzo,Via Cavriani,45,Abruzzo,75792,42.46922503495039,14.175659496570441,yes
Abruzzo,Viale delle Metamorfosi,134,Abruzzo,72060,42.06448315,13.345452549999997,yes
Abruzzo,Via Cesare Battisti,159,Abruzzo,36566,42.8204140137158,13.804624579596409,yes
Abruzzo,Via Trento,195,Abruzzo,30415,42.85524671120291,13.818771540644534,shed
Abruzzo,Via Enrico Giammarco,144,Abruzzo,17229,42.35681831666596,13.509309450149964,yes
Abruzzo,Via Monte Grappa,177,Abruzzo,18538,42.42598917048679,14.047311038074167,yes
Abruzzo,Via Celano,99,Abruzzo,32320,41.941714975610175,14.635845199011726,yes
Abruzzo,Strada Provinciale 55 di Pescocostanzo,22,Abruzzo,12976,42.50075550127517,14.163803755819986,yes
Abruzzo,Via Giuseppe Andrea Angeloni,101,Abruzzo,91202,41.972862049999996,13.504105100000002,yes
Abruzzo,Viale della Repubblica,180,Abruzzo,30214,41.9653165967075,14.335404164120561,yes
Abruzzo,Via Principe di Napoli,165,Abruzzo,78858,42.38671324756896,14.272420384038218,yes
Abruzzo,Via San Polo,144,Abruzzo,45566,42.61288200170746,14.061486420891987,house
Abruzzo,Via Monte Guelfi,137,Abruzzo,36736,41.91511338275646,13.867804332267784,yes
Abruzzo,Via Livenza,197,Abruzzo,10082,41.93508130481494,13.41025705997917,yes
Abruzzo,Via Antonio De Nino,175,Abruzzo,88114,42.06698069333924,13.406350197399433,yes
Abruzzo,Via delle Concerie,154,Abruzzo,59825,42.649107153063596,13.937961907336765,yes
Abruzzo,Viale Berardino De Vincentiis,197,Abruzzo,10291,42.32766289502363,13.49621673430331,yes
Abruzzo,Viale Berardino De Vincentiis,35,Abruzzo,21896,42.425944315936086,14.158800525437778,house
Abruzzo,Via Giovanni Di Vincenzo,108,Abruzzo,62985,42.1703723525295,13.832758692662514,yes
Abruzzo,Via Cavour,101,Abruzzo,83291,42.835803339633934,13.92701577844622,residential
Abruzzo,Via Ponte Rasarolo,48,Abruzzo,36751,42.21516850036501,14.249994833141784,yes
Abruzzo,Via Giuseppe Verdi,5,Abruzzo,83131,42.2256549,14.163674500000003,yes
Abruzzo,Via Cesare Battisti,44,Abruzzo,65393,42.55572028391025,13.26831503624357,yes
Abruzzo,Strada Provinciale 12 Frentana,35,Abruzzo,11613,42.21084086947651,14.18857643821651,chapel
Abruzzo,Strada Statale 17 Est,12,Abruzzo,73260,42.37737707079619,13.521316246857005,yes
Abruzzo,Via San Francesco di Paola,62,Abruzzo,21302,42.349824731945,13.396496164276657,yes
Abruzzo,Via di Specchio,48,Abruzzo,33305,42.124069521107046,13.887373435880846,yes
Abruzzo,Via Francia,141,Abruzzo,66309,41.88749661509597,13.582927788751855,yes
Abruzzo,Via Caramanico,21,Abruzzo,60520,42.22295251986636,14.43101376177584,yes
Abruzzo,Via della Comunità Europea,12,Abruzzo,53862,42.426070311925514,14.18293240345162,yes
Abruzzo,Via Tavola Rotonda,34,Abruzzo,40993,42.427688767237925,14.278802354950116,house
Abruzzo,Strada Statale 153 della Valle del Tirino,87,Abruzzo,40814,42.52010933210435,14.122064326358682,residential
Abruzzo,Via Porta Romana,192,Abruzzo,83818,42.46852679676545,14.06983156851309,yes
Abruzzo,Via Martin Luther King,162,Abruzzo,24541,42.2839513,13.473956,yes
Abruzzo,Via delle Capannelle,134,Abruzzo,60965,42.35700609786756,13.478187566355526,yes
Abruzzo,Via della Polveriera,108,Abruzzo,33622,42.52389584610525,14.123145662206959,yes
Abruzzo,Via Montenero,110,Abruzzo,58076,42.57854804907437,13.972495282767829,yes
Abruzzo,Via Lamaccio,115,Abruzzo,39639,42.046949865239974,13.89689323056178,house
Abruzzo,Via Brasile,13,Abruzzo,45635,42.631802465738275,13.843015057684525,residential
Abruzzo,Via Galileo Galilei,87,Abruzzo,28802,42.50425703502937,14.166185394271043,house
Abruzzo,Via Colombo Andreassi,96,Abruzzo,78818,42.308360611174905,13.334112846309022,yes
Abruzzo,Via Giulia,42,Abruzzo,57898,42.03478836736526,14.422938766893804,yes
Abruzzo,Strada Provinciale 12 Frentana,93,Abruzzo,67357,42.80900664633516,13.810139091019392,yes
Abruzzo,Via San Antonino,131,Abruzzo,51723,42.665659204807774,14.020079817517848,yes
Abruzzo,Strada Regionale 5 bis Vestina Sarentina,140,Abruzzo,57737,42.254781070124714,14.211960258606647,yes
Abruzzo,Via Ponte Rasarolo,12,Abruzzo,47849,42.269363150000004,13.92856255,house
Abruzzo,Strada Provinciale 80 di Campo Imperatore,100,Abruzzo,15164,42.65613685633592,13.654576325038605,public
Abruzzo,Via Madonna delle Grazie,17,Abruzzo,67123,42.237135931471,14.209637361579999,yes
Abruzzo,Via San Francesco di Paola,168,Abruzzo,37195,42.73682698921852,13.94925857657334,yes
Abruzzo,Via Cavriani,135,Abruzzo,10716,42.01730826741206,13.931018946402695,garages
Abruzzo,Via Pinete del Pizzalto,50,Abruzzo,47500,42.06681379893211,13.223515806242878,yes
Abruzzo,Via Silvio Spaventa,116,Abruzzo,11712,42.235697538706475,13.48831163368401,church
Abruzzo,Piazza Cansatessa,121,Abruzzo,62359,42.00401721431747,14.015234199579963,yes
Abruzzo,Via Angelo Pellegrino,182,Abruzzo,11677,42.22930991573615,14.389071957682686,residential
Abruzzo,Via Raffaele Paolucci,184,Abruzzo,27608,42.32049784290233,13.412528678303277,yes
Abruzzo,Via Madonna dei Monti,111,Abruzzo,25524,42.21384201783462,13.914274047613201,house
Abruzzo,Via Oasi di San Francesco,192,Abruzzo,11823,42.38453860665987,14.068154381778522,yes
Abruzzo,Via del Lago,189,Abruzzo,94869,42.22671869613776,14.281519342988576,industrial
Abruzzo,Strada Regionale 5 dir Via Tiburtina Valeria,148,Abruzzo,40384,42.1345144581453,14.700944472839948,yes
Abruzzo,Rotonda Giovanni Ricottilli,46,Abruzzo,42990,42.507524455120844,14.004715505280375,yes
Abruzzo,Via della Polveriera,108,Abruzzo,40786,42.48129967316796,14.169422614634394,yes
Abruzzo,Via Filippo Turati,183,Abruzzo,86356,41.98268781449032,13.813215872436878,house
Abruzzo,Via Madonna delle Grazie,75,Abruzzo,56069,42.3455085,13.645672349999998,yes
Abruzzo,Via Vittorio Veneto,93,Abruzzo,50299,42.755940961624695,13.949684703802925,yes
Abruzzo,Via Livenza,17,Abruzzo,89924,42.20195967104619,13.520557905163823,detached
Abruzzo,Via Filippo Turati,116,Abruzzo,13844,42.01055915363861,13.481980884069724,yes
Abruzzo,Via del Cavallaro,39,Abruzzo,58978,42.04411811680545,13.416642534766943,yes
Abruzzo,Via Fratelli Angeletti,138,Abruzzo,43910,42.399253400000006,14.213206249999997,detached
Abruzzo,Viale Sulmona,143,Abruzzo,46855,42.03352467447009,13.425726124677855,yes
Abruzzo,Via Tavola Rotonda,95,Abruzzo,48893,41.99084191365331,13.329072215450475,yes
Abruzzo,Via Pietransieri,18,Abruzzo,47523,42.33253643320834,14.203860542378187,yes
Abruzzo,Corso Principe Umberto,78,Abruzzo,70755,42.09489746893752,13.87372811563043,yes
Abruzzo,Via Cavriani,155,Abruzzo,52752,42.39973093243411,13.315898163154761,yes
Abruzzo,Viale Duca degli Abruzzi,190,Abruzzo,10750,42.378128100000005,14.220166050000001,yes
Abruzzo,Via Montello,131,Abruzzo,40956,42.61441135,13.9181603,yes
Abruzzo,Via Montagna,8,Abruzzo,87468,42.375717501533536,14.220313683477043,yes
Abruzzo,Via Filippo Freda,110,Abruzzo,95124,42.542168502826264,14.124034217274483,apartments
Abruzzo,Via Montello,25,Abruzzo,39191,42.74083275,13.971960999999999,yes
Abruzzo,Via Filippo Freda,147,Abruzzo,93477,42.82764565,13.92552265,yes
Abruzzo,Strada Regionale 577 del Lago di Campotosto,198,Abruzzo,42999,42.39548763554413,14.31737239289142,yes
Abruzzo,Via Ricciardi,78,Abruzzo,89094,42.40422909175545,14.217823302800989,detached
Abruzzo,Viale della Croce Rossa,79,Abruzzo,57415,42.06254130000001,13.4102968,yes
Abruzzo,Via Cavriani,34,Abruzzo,99634,42.159566527493084,14.008867218544689,apartments
Abruzzo,Via Goffredo Petrassi,147,Abruzzo,20354,42.58423321341845,13.514447434297145,yes
Abruzzo,Via Galileo Galilei,167,Abruzzo,61283,42.380621999999995,14.20744525,yes
Abruzzo,Via Manlio D'Eramo,74,Abruzzo,95202,42.39664580173053,13.29551217708421,yes
Abruzzo,Via Torretta,139,Abruzzo,21189,42.40055629708093,14.166218381065413,yes
Abruzzo,Via San Francesco,75,Abruzzo,29022,42.19888930083291,14.353193307953084,yes
Abruzzo,Via Acquasanta,3,Abruzzo,47846,42.199498049999995,13.91520415,greenhouse
Abruzzo,Via Acquasanta,13,Abruzzo,83710,42.06160000472375,13.953988114184655,yes
Abruzzo,Via Martin Luther King,149,Abruzzo,94132,42.751646451593984,13.946214084095041,yes
Abruzzo,Via Tavola Rotonda,122,Abruzzo,24369,42.36255416137227,14.10415795769982,greenhouse
Abruzzo,Viale della Repubblica,192,Abruzzo,11363,42.32754609655253,14.36427653506859,residential
Abruzzo,Via del Castelvecchio,186,Abruzzo,10767,42.263740618934705,14.368926813126517,residential
Abruzzo,Via della Rocchetta,158,Abruzzo,50361,42.29152854159037,13.288533324178873,yes
Abruzzo,Via Galileo Galilei,144,Abruzzo,84459,42.355316542886875,13.348722135539704,commercial
Abruzzo,Via Vigili del Fuoco,34,Abruzzo,18706,42.59714647382434,14.032194053373837,yes
Abruzzo,Via Valter Vittorini,195,Abruzzo,85849,41.7457347133021,14.038774929503242,yes
Abruzzo,Via Giulia,74,Abruzzo,46069,42.12941298979442,13.200263001300595,yes
Abruzzo,Via Sallustio,63,Abruzzo,68549,42.45296770360717,13.939494520567845,yes
Abruzzo,Via Morrone,27,Abruzzo,29685,42.816451199999996,13.822064249999999,yes
Abruzzo,Via Monte Guelfi,1,Abruzzo,98143,41.766489837663975,13.9429658714218,yes
Abruzzo,Via di Specchio,78,Abruzzo,12312,42.52187290984012,13.552504657617494,yes
Abruzzo,Via San Gabriele dell'Addolorata,115,Abruzzo,53830,42.23964727284692,14.161631661345627,yes
Abruzzo,Strada Statale 84 Frentana,42,Abruzzo,55931,42.41775966851797,13.34849030835959,yes
Abruzzo,Via del Convento,90,Abruzzo,43587,42.244550547576175,14.48380576092785,apartments
Abruzzo,Via Madonna dei Monti,86,Abruzzo,33064,42.47216847175089,14.20718759163732,residential
Abruzzo,Viale Giovanni Ventitreesimo,89,Abruzzo,13858,42.29758441676638,13.8964678506118,yes
Abruzzo,Via Lamaccio,123,Abruzzo,17406,42.565365650000004,14.104833000000001,yes
Abruzzo,Piazza Cansatessa,160,Abruzzo,56940,42.48768595,14.100069599999998,yes
Abruzzo,Via Antonio De Nino,128,Abruzzo,12735,42.78973323342091,13.642445105903581,yes
Abruzzo,Via Guglielmo Marconi,182,Abruzzo,10870,41.98606245796994,14.3824918574167,apartments
Abruzzo,Piazzale Tullio De Rubeis,14,Abruzzo,67922,42.63062816838116,13.466556429250911,yes
Abruzzo,Via Francesco Paolo Michetti,174,Abruzzo,36704,41.99164539742955,13.685712678036664,yes
Abruzzo,Via Romana,137,Abruzzo,94713,42.04607989023949,14.728316394414419,yes
Abruzzo,Via Badia,97,Abruzzo,71325,42.448881387248754,13.270957806332692,yes
Abruzzo,Via Domenico D'Ascanio,156,Abruzzo,71649,42.45642047032985,14.178066082809154,commercial
Abruzzo,Via Francesco Paolo Michetti,121,Abruzzo,76741,42.100888145488845,13.874191886820334,yes
Abruzzo,Strada Provinciale 80 di Campo Imperatore,110,Abruzzo,22780,42.38020559053584,13.444806093924297,yes
Abruzzo,Via Raffaele Paolucci,75,Abruzzo,20357,42.5101365786481,14.146033220809981,yes
Abruzzo,Via della Polveriera,123,Abruzzo,41545,42.33564753314851,13.261375200348242,yes
Abruzzo,Via Giulia,198,Abruzzo,18871,42.124592422634976,14.277879477284761,yes
Abruzzo,Via Vasto,167,Abruzzo,87267,42.66502184516959,14.02145388240197,yes
Abruzzo,Via San Polo,63,Abruzzo,84893,42.658332571516496,13.793465207855899,yes
Abruzzo,Viale Duca degli Abruzzi,27,Abruzzo,10114,42.338584094204364,14.307646207712843,greenhouse
Abruzzo,Via Solimo,18,Abruzzo,70328,42.12594490886942,13.81795657847778,yes
Abruzzo,Via Giovanni Pansa,179,Abruzzo,13594,42.55898405000001,14.107505900000001,yes
Abruzzo,Via Circonvallazione,150,Abruzzo,67532,42.256068431944726,14.42102571590917,yes
Abruzzo,Via del Castelvecchio,13,Abruzzo,67912,42.44931480071198,13.989275181726887,yes
Abruzzo,Via Principe di Napoli,88,Abruzzo,94671,42.09698348185022,14.601062812666584,stable
Abruzzo,Via del Lago,168,Abruzzo,16668,42.75240179470607,13.96253678127791,yes
Abruzzo,Via Edward Lear,189,Abruzzo,53769,42.35123934967556,14.109435600633248,residential
